Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,Unnamed: 7,street_name,zip_code
AMS-3418,1B Singel 1012 VC,52.37831,4.893974,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Singel,1012 VC
AMS-3339,2 Kramatweg 1095 JM,52.36585,4.944601,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Kramatweg,1095 JM
AMS-2811,11 Polsbroekstraat 1106 BA,52.30029,4.979529,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Polsbroekstraat,1106 BA
AMS-3303,13 Roelof Hartplein 1071 TS,52.35325,4.883078,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Roelof Hartplein,1071 TS
AMS-2741,3 Fanny Blankers-Koenlaan 1061,52.37468,4.841031,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Fanny Blankers-Koenlaan,1061
AMS-2807,164I Jan van Galenstraat 1056 CJ,52.37301,4.849682,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Jan van Galenstraat,1056 CJ
AMS-2872,98I Archimedesweg 1098 JT,52.35524,4.940102,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Archimedesweg,1098 JT
AMS-3122,19h Amsteldijk 1074 HS,52.35715,4.904184,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Amsteldijk,1074 HS
AMS-2802,791E Burgemeester Hogguerstraat 1064 EB,52.37276,4.829317,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Burgemeester Hogguerstraat,1064 EB
AMS-3000,347 IJburglaan 1086 ZJ,52.36268,4.98276,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,IJburglaan,1086 ZJ
AMS-2726,792 Koningin Wilhelminaplein 1062 KS,52.35497,4.840229,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Koningin Wilhelminaplein,1062 KS
AMS-2781,233A Marius Bauerstraat 1062 AK,52.36252,4.837417,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Marius Bauerstraat,1062 AK
AMS-2789,94 Egoli 1103 AE,52.32502,4.964448,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Egoli,1103 AE
AMS-2924,226I Marco Polostraat 1057 XA,52.37074,4.855576,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Marco Polostraat,1057 XA
AMS-3118,85 Valeriusstraat 1071 PK,52.35417,4.86922,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Valeriusstraat,1071 PK
AMS-3136,2 Verbindingstraat 1073 TJ,52.35285,4.898847,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Verbindingstraat,1073 TJ
AMS-2904,5 Efua Sutherlandstraat 1103 MP,52.32127,4.968007,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Efua Sutherlandstraat,1103 MP
AMS-2986,7 Westmallepad 1066 PP,52.34753,4.807018,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Westmallepad,1066 PP
AMS-2804,79II Antony Moddermanstraat 1063 LN,52.38337,4.815278,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Antony Moddermanstraat,1063 LN
AMS-3163,89 Fred. Roeskestraat 1076 EE,52.34113,4.864603,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Fred. Roeskestraat,1076 EE
AMS-2903,3 Emmeline Pankhurststraat 1103 MN,52.3219,4.965074,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Emmeline Pankhurststraat,1103 MN
AMS-3291,7 Copernicusstraat 1098 JC,52.35396,4.935399,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Copernicusstraat,1098 JC
AMS-3010,4 George Sandstraat 1102 AG,52.32356,4.95108,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,George Sandstraat,1102 AG
AMS-3349,239 Jan Vrijmanstraat 1087 MN,52.34731,5.007743,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Jan Vrijmanstraat,1087 MN
AMS-2858,7 Herbert Spencerhof 1064 XD,52.37589,4.810477,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Herbert Spencerhof,1064 XD
AMS-2837,439III Osdorper Ban 1068 MG,52.36171,4.798012,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Osdorper Ban,1068 MG
AMS-3228,34 Concertgebouwplein 1071 LN,52.35555,4.877781,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Concertgebouwplein,1071 LN
AMS-2881,63 Wethouder de Roosplein 1107 AD,52.29562,4.989902,TYPE 2,2,Regular Public & Semi-Public Charging Points (AC):,regular public and semi-public charging points,Wethouder de Roosplein,1107 AD
