street name,population,Street Area,Population density,EV Vehicles,Regular public charging points,Regular Semi-public charging points,Fast charging points,Private charging at home,Regular Public & Semi-Public Charging Points (AC):,street_name,Latitude,Longitude
M55 Frankendael,11890,18.53,1.56,746,91,51,5,505,141,IJburg Zuid,52.3500156,5.006204
M56 Middenmeer,15538,18.53,2.04,975,119,66,6,660,185,Frankendael,52.3501128,4.9249675
M57 Betondorp,3139,18.53,0.41,197,24,13,1,133,37,Middenmeer,52.3511236,4.9482332
M58 De Omval,5250,18.53,0.69,330,40,22,2,223,62,Betondorp,52.340278,4.943056
N60 Volewijck,9436,44.46,4.16,592,72,40,4,401,112,De Omval,52.3363412,4.9190299
N61 IJplein/Vogelbuurt,8139,44.46,3.59,511,62,35,3,346,97,Volewijck,52.3937558,4.9176199
N62 Tuindorp Nieuwendam,3487,44.46,1.54,219,27,15,1,148,41,IJplein/Vogelbuurt,52.3883203,4.9199773
N63 Tuindorp Buiksloot,1897,44.46,0.84,119,14,8,1,81,23,Tuindorp Nieuwendam,52.390564,4.9461513
N64 Nieuwendammerdijk/Buiksloterdijk,1668,44.46,0.74,105,13,7,1,71,20,Tuindorp Buiksloot,52.3926468,4.9282299
N65 Tuindorp Oostzaan,12013,44.46,5.29,754,92,51,5,510,143,Nieuwendammerdijk/Buiksloterdijk,52.3877371,4.9392702
N66 Oostzanerwerf,8856,44.46,3.9,556,68,38,3,376,105,Tuindorp Oostzaan,52.4119909,4.8932176
N67 Kadoelen,3506,44.46,1.55,220,27,15,1,149,42,Oostzanerwerf,52.4216359,4.8884659
N68 Nieuwendam-Noord,13560,44.46,5.98,851,104,58,5,576,161,Kadoelen,52.418266,4.9063234
N69 Buikslotermeer,11180,44.46,4.93,702,85,48,4,475,133,Nieuwendam-Noord,52.3934948,4.9558257
N70 Banne Buiksloot,14814,44.46,6.53,930,113,63,6,629,176,Buikslotermeer,52.4011401,4.9358496
N71 Buiksloterham,5813,44.46,2.56,365,44,25,2,247,69,Banne Buiksloot,52.4057469,4.9180914
N72 Nieuwendammerham,249,44.46,0.11,16,2,1,0,11,3,Buiksloterham,52.3940049,4.9022003
N73 Waterland,2414,44.46,1.06,152,18,10,1,103,29,Nieuwendammerham,52.3849835,4.9360072
nvt,3855,44.46,1.7,242,29,16,1,164,46,Waterland,52.3956517,4.9948817
T92 Amstel III/Bullewijk,1624,20.51,0.37,102,12,7,1,69,19,nvt,52.3688223,4.9015934
"T93 Bijlmer Centrum (D,F,H)",24563,20.51,5.59,1542,188,104,9,1043,292,Amstel III/Bullewijk,52.2951488,4.9512518
"T94 Bijlmer Oost (E,G,K)",29846,20.51,6.8,1873,228,127,12,1268,355,"Bijlmer Centrum (D,F,H)",52.31527,4.9521719
T95 Nellestein,3066,20.51,0.7,192,23,13,1,130,36,"Bijlmer Oost (E,G,K)",52.3165193,4.9804894
T96 Holendrecht/Reigersbos,18117,20.51,4.13,1137,138,77,7,770,215,Nellestein,52.3065615,4.9933607
T97 Gein,11233,20.51,2.56,705,86,48,4,477,134,Holendrecht/Reigersbos,52.2958087,4.9760533
T98 Driemond,1627,20.51,0.37,102,12,7,1,69,19,Gein,52.2959803,4.9914503
,,,,,,,,,,Driemond,52.3062645,5.0148006
,,,,,,,,,,Amsterdam,52.3675734,4.9041389
