Station Name,Address,Latitude,Longitude,Connector Type,Quantity,Type,street_name
AMS-1465,168 Johannes Verhulststraat 1075 HB,52.35348,4.867958,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Johannes Verhulststraat
AMS-2547,2I Hemonylaan 1074 BE,52.35709,4.899857,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Hemonylaan
AMS-1007,11C Vespuccistraat 1057 CJ,52.36943,4.854027,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Vespuccistraat
AMS-0459,115II Sarphatipark 1073 CW,52.35499,4.898542,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Sarphatipark
AMS-1328,198VI Valeriusstraat 1075 GJ,52.35235,4.862029,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Valeriusstraat
AMS-0236,10c Albert Hahnplantsoen 1077 BM,52.35137,4.869399,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Albert Hahnplantsoen
AMS-0954,186 Zoutkeetsgracht 1013 LC,52.38856,4.888215,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Zoutkeetsgracht
AMS-2563,23 Emmalaan 1075 AT,52.35352,4.863583,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Emmalaan
AMS-2590,3AF Orteliusstraat 1057 AR,52.36541,4.851232,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Orteliusstraat
AMS-2314,792 Koningin Wilhelminaplein 1062 KS,52.35497,4.840229,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Koningin Wilhelminaplein
AMS-2521,1 Kortenaerplein 1057 NE,52.3688,4.863123,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Kortenaerplein
AMS-1429,136V3 Tolstraat 1074 VM,52.35238,4.904768,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Tolstraat
AMS-1485,2 Willem Kraanstraat 1063 MG,52.37971,4.823491,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Willem Kraanstraat
AMS-1324,102II Johannes Verhulststraat 1071 NK,52.35434,4.871568,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Johannes Verhulststraat
AMS-2443,7 Pennyhof 1060 SM,52.34752,4.788394,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Pennyhof
AMS-2297,295III Baarsjesweg 1058 AG,52.35918,4.855572,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Baarsjesweg
AMS-0921,55II Beethovenstraat 1077 HN,52.34824,4.877136,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Beethovenstraat
AMS-0981,1 Westzaanstraat 1013 NA,52.38717,4.882979,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Westzaanstraat
AMS-2835,16 Antoon Keldermansstraat 1067 BD,52.3828,4.79797,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Antoon Keldermansstraat
AMS-1621,85 Valeriusstraat 1071 PK,52.35417,4.86922,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Valeriusstraat
AMS-0837,184HS Valeriusstraat 1075 GJ,52.35235,4.862029,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Valeriusstraat
AMS-2527,163III Van Eeghenstraat 1071 GC,52.35658,4.8701,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Eeghenstraat
AMS-2416,32 Zonhovenstraat 1066 ME,52.34724,4.812431,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Zonhovenstraat
AMS-1472,79II Antony Moddermanstraat 1063 LN,52.38337,4.815278,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Antony Moddermanstraat
AMS-1741,2HS Van Eeghenstraat 1071 GE,52.35804,4.875682,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Eeghenstraat
AMS-2287,1III Lomanstraat 1075 PS,52.3514,4.860463,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Lomanstraat
AMS-1198,129 Mercatorstraat 1056 RC,52.37426,4.848991,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Mercatorstraat
AMS-2327,14III Rustenburgerdwarsstraat 1074 JJ,52.35308,4.904724,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Rustenburgerdwarsstraat
AMS-2368,87HS Johannes Vermeerstraat 1071 DP,52.35678,4.884081,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Johannes Vermeerstraat
AMS-0847,83IV Daniėl Stalpertstraat 1072 XC,52.35618,4.890544,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Daniėl Stalpertstraat
AMS-2332,13 Doctor E. Boekmanstraat 1069 KS,52.35187,4.795068,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Doctor E. Boekmanstraat
AMS-2319,33II Banstraat 1071 JW,52.35445,4.874444,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Banstraat
AMS-1004,41HS Van Spilbergenstraat 1057 PX,52.36569,4.852135,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Van Spilbergenstraat
AMS-2351,19 Waldeck Pyrmontlaan 1075 BT,52.3534,4.857683,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Waldeck Pyrmontlaan
AMS-2992,100 Belgiėplein 1066 SC,52.34586,4.812505,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Belgiėplein
AMS-0228,7II Hemonylaan 1074 BE,52.35754,4.900844,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Hemonylaan
AMS-2341,22 Blankenbergestraat 1066 TK,52.34531,4.800429,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Blankenbergestraat
AMS-2390,25HS Vespuccistraat 1057 CK,52.37032,4.853693,TYPE 2,4,Regular Public & Semi-Public Charging Points (AC):,Vespuccistraat
