OBJECTNUMMER,LABEL,link no., year,street_name,24 hours,daylight,evening,nightlv,daymv,eveningmv,nightmv,dayzv,eveningzv,nightzv,day bus,evening bus,night bus,dagmr,eveningmr,nightmr,WKT_LNG_LAT,WKT_LAT_LNG,Longitude,Latitude
33721,Link 203108,203108,2019,Brouwersgracht,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8896152 52.3796275,4.8895958 52.3796544,4.8884945 52.3802612)","LINESTRING(52.3796275 4.8896152,52.3796544 4.8895958,52.3802612 4.8884945)",4.88905485,52.37994435
33729,Link 203109,203109,2019,Brouwersgracht,726,39,31,16,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.888132 52.3804641,4.8884945 52.3802612)","LINESTRING(52.3804641 4.888132,52.3802612 4.8884945)",4.88831325,52.38036265
33737,Link 203112,203112,2019,Korte Prinsengracht,2048,110,88,45,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.8895128 52.3813757,4.8888313 52.3806468,4.8887377 52.380515)","LINESTRING(52.3813757 4.8895128,52.3806468 4.8888313,52.380515 4.8887377)",4.88912525,52.38094535
33745,Link 203116,203116,2019,Binnen Brouwersstraat,1656,90,72,37,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8902923 52.3797489,4.8910128 52.3805346)","LINESTRING(52.3797489 4.8902923,52.3805346 4.8910128)",4.89065255,52.38014175
33753,Link 203118,203118,2019,Droogbak,2088,107,85,44,5,2,1,3,1,1,0,0,0,1,1,0,"LINESTRING(4.8945397 52.3796368,4.8946745 52.3796868)","LINESTRING(52.3796368 4.8945397,52.3796868 4.8946745)",4.8946071,52.3796618
33761,Link 203120,203120,2019,Brouwersgracht,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8921689 52.3793354,4.8918677 52.3793872,4.8917712 52.3794222)","LINESTRING(52.3793354 4.8921689,52.3793872 4.8918677,52.3794222 4.8917712)",4.89197005,52.3793788
33769,Link 203123,203123,2019,Prins Hendrikkade,7116,372,297,152,8,3,2,6,3,1,0,0,3,2,2,1,"LINESTRING(4.8953393 52.3792526,4.8947935 52.3795525,4.8946745 52.3796868)","LINESTRING(52.3792526 4.8953393,52.3795525 4.8947935,52.3796868 4.8946745)",4.8950069,52.3794697
33777,Link 203131,203131,2019,WESTERDOKSLUIS 0314,17669,907,724,370,27,10,6,22,10,5,10,8,2,5,4,2,"LINESTRING(4.8932935 52.3828605,4.8932867 52.3829953,4.8930492 52.3834403)","LINESTRING(52.3828605 4.8932935,52.3829953 4.8932867,52.3834403 4.8930492)",4.89317135,52.3831504
33785,Link 203142,203142,2019,Westerdoksdijk,18434,936,748,382,36,13,8,28,13,6,10,8,2,5,4,2,"LINESTRING(4.8927104 52.3866278,4.8920837 52.3880644)","LINESTRING(52.3866278 4.8927104,52.3880644 4.8920837)",4.89239705,52.3873461
33793,Link 203147,203147,2019,tt. Vasumweg,4162,247,151,46,8,4,2,7,2,1,0,0,0,1,1,0,"LINESTRING(4.8946853 52.4035562,4.895005 52.4034334,4.8950312 52.4034045,4.8951006 52.4033992)","LINESTRING(52.4035562 4.8946853,52.4034334 4.895005,52.4034045 4.8950312,52.4033992 4.8951006)",4.89489295,52.4034777
33801,Link 203149,203149,2019,tt. Vasumweg,4162,247,151,46,8,4,2,7,2,1,0,0,0,1,1,0,"LINESTRING(4.8921064 52.4047326,4.8916264 52.4049736,4.8912953 52.4051918,4.8911442 52.405237)","LINESTRING(52.4047326 4.8921064,52.4049736 4.8916264,52.4051918 4.8912953,52.405237 4.8911442)",4.8916253,52.4049848
33809,Link 203169,203169,2019,Stenendokweg,4096,251,153,47,4,2,1,3,1,0,0,0,0,1,1,0,"LINESTRING(4.8930265 52.4078167,4.8930217 52.407881,4.892997 52.4079056)","LINESTRING(52.4078167 4.8930265,52.407881 4.8930217,52.4079056 4.892997)",4.89301175,52.40786115
33817,Link 203170,203170,2019,Stenendokweg,4096,251,153,47,4,2,1,3,1,0,0,0,0,1,1,0,"LINESTRING(4.8930061 52.4088075,4.8929995 52.4090695,4.8930476 52.40914)","LINESTRING(52.4088075 4.8930061,52.4090695 4.8929995,52.40914 4.8930476)",4.89302355,52.40897375
33825,Link 203174,203174,2019,tt. Vasumweg,4406,271,165,50,3,1,1,3,1,0,0,0,0,1,1,0,"LINESTRING(4.8889303 52.4063753,4.8895849 52.4060632)","LINESTRING(52.4063753 4.8889303,52.4060632 4.8895849)",4.8892576,52.40621925
33833,Link 203203,203203,2019,Meteorenweg,1115,57,35,11,1,0,0,1,0,0,12,9,3,0,0,0,"LINESTRING(4.8896869 52.4110481,4.8888225 52.4114545)","LINESTRING(52.4110481 4.8896869,52.4114545 4.8888225)",4.8892547,52.4112513
33841,Link 203227,203227,2019,Kometensingel,47,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8879368 52.4148532,4.8882007 52.4148434,4.8892062 52.4149296,4.8901354 52.4150978)","LINESTRING(52.4148532 4.8879368,52.4148434 4.8882007,52.4149296 4.8892062,52.4150978 4.8901354)",4.8890361,52.4149706
33849,Link 203240,203240,2019,Molenaarsweg,5982,365,222,68,4,2,1,4,1,1,3,2,1,2,1,0,"LINESTRING(4.8883833 52.4216186,4.8888945 52.4216376,4.8901803 52.4216225,4.8904309 52.4215606,4.8905048 52.4215249,4.8906683 52.4213639,4.8913088 52.4206116,4.8913895 52.4205639)","LINESTRING(52.4216186 4.8883833,52.4216376 4.8888945,52.4216225 4.8901803,52.4215606 4.8904309,52.4215249 4.8905048,52.4213639 4.8906683,52.4206116 4.8913088,52.4205639 4.8913895)",4.8898864,52.42110075
33857,Link 203243,203243,2019,Zuideinde,5393,331,201,61,5,2,1,4,1,1,0,0,1,2,1,0,"LINESTRING(4.8931193 52.4199355,4.8933238 52.4197327)","LINESTRING(52.4199355 4.8931193,52.4197327 4.8933238)",4.89322155,52.4198341
33865,Link 203246,203246,2019,Zuideinde,3444,208,127,39,2,1,0,1,0,0,6,4,2,1,1,0,"LINESTRING(4.888834 52.4243965,4.8905047 52.4226765,4.8910087 52.4221205,4.8914799 52.4216498,4.8922622 52.4207799,4.8923363 52.4207274)","LINESTRING(52.4243965 4.888834,52.4226765 4.8905047,52.4221205 4.8910087,52.4216498 4.8914799,52.4207799 4.8922622,52.4207274 4.8923363)",4.89058515,52.42256195
33873,Link 203287,203287,2019,Waalstraat,965,45,29,10,4,1,1,3,2,1,7,5,2,0,0,0,"LINESTRING(4.9018399 52.3412026,4.9020289 52.3426602,4.9020725 52.3428635)","LINESTRING(52.3412026 4.9018399,52.3426602 4.9020289,52.3428635 4.9020725)",4.9019562,52.34203305
33881,Link 203295,203295,2019,Maasstraat,1489,89,57,20,1,0,0,1,0,0,0,0,0,1,0,0,"LINESTRING(4.8967585 52.3428174,4.897209 52.342359)","LINESTRING(52.3428174 4.8967585,52.342359 4.897209)",4.89698375,52.3425882
33889,Link 203299,203299,2019,President Kennedylaan,16164,956,613,211,16,5,3,13,6,2,7,5,2,5,3,1,"LINESTRING(4.9017462 52.3404068,4.9010204 52.3404271,4.9000298 52.3404832,4.8974253 52.3405954)","LINESTRING(52.3404068 4.9017462,52.3404271 4.9010204,52.3404832 4.9000298,52.3405954 4.8974253)",4.89958575,52.3405011
33897,Link 203305,203305,2019,President Kennedylaan,17068,1009,647,222,22,7,4,18,8,3,0,0,0,5,3,1,"LINESTRING(4.9017462 52.3404068,4.9020845 52.3403795,4.9057914 52.3402155,4.9064593 52.3402028)","LINESTRING(52.3404068 4.9017462,52.3403795 4.9020845,52.3402155 4.9057914,52.3402028 4.9064593)",4.90410275,52.3403048
33905,Link 203309,203309,2019,Waalstraat,2072,116,74,26,3,1,1,2,1,0,7,5,2,1,0,0,"LINESTRING(4.9014314 52.3438796,4.9020511 52.3432271,4.9020761 52.3431508,4.9020725 52.3428635)","LINESTRING(52.3438796 4.9014314,52.3432271 4.9020511,52.3431508 4.9020761,52.3428635 4.9020725)",4.90175375,52.34337155
33913,Link 203310,203310,2019,Rooseveltlaan,1305,75,48,17,3,1,1,2,1,0,0,0,0,0,0,0,"LINESTRING(4.9006367 52.3447063,4.9007957 52.3445294)","LINESTRING(52.3447063 4.9006367,52.3445294 4.9007957)",4.9007162,52.34461785
33921,Link 203314,203314,2019,Merwedeplein,1152,67,43,15,2,1,0,2,1,0,0,0,0,0,0,0,"LINESTRING(4.8998936 52.3455351,4.9000288 52.3453234,4.9001923 52.3451783)","LINESTRING(52.3455351 4.8998936,52.3453234 4.9000288,52.3451783 4.9001923)",4.90004295,52.3453567
33929,Link 203316,203316,2019,Rooseveltlaan,2014,119,76,26,3,1,1,2,1,0,0,0,0,1,1,0,"LINESTRING(4.8964213 52.3431725,4.8965966 52.3429828)","LINESTRING(52.3431725 4.8964213,52.3429828 4.8965966)",4.89650895,52.34307765
33937,Link 203325,203325,2019,Waalstraat,123,6,4,1,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.9001067 52.3477872,4.9000876 52.3477458,4.9001134 52.3473724)","LINESTRING(52.3477872 4.9001067,52.3477458 4.9000876,52.3473724 4.9001134)",4.9001005,52.3475798
33945,Link 203338,203338,2019,Lutmastraat,409,25,16,6,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.9014487 52.351433,4.902277 52.3515471)","LINESTRING(52.351433 4.9014487,52.3515471 4.902277)",4.90186285,52.35149005
33953,Link 203347,203347,2019,Henrick de Keijserplein,409,25,16,6,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8979054 52.3509314,4.8980994 52.35094,4.8988243 52.3510416,4.8989869 52.3510813)","LINESTRING(52.3509314 4.8979054,52.35094 4.8980994,52.3510416 4.8988243,52.3510813 4.8989869)",4.89844615,52.35100635
33961,Link 203353,203353,2019,Sarphatipark,596,34,22,7,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8981557 52.3554971,4.8986612 52.3548523)","LINESTRING(52.3554971 4.8981557,52.3548523 4.8986612)",4.89840845,52.3551747
33969,Link 203361,203361,2019,Van Woustraat,8228,496,318,109,4,1,1,3,1,1,0,0,2,3,2,1,"LINESTRING(4.9007217 52.3554902,4.9012495 52.3548217)","LINESTRING(52.3554902 4.9007217,52.3548217 4.9012495)",4.9009856,52.35515595
33977,Link 203365,203365,2019,Oosteinde,1451,85,55,19,2,1,1,2,1,0,0,0,0,0,0,0,"LINESTRING(4.9015659 52.3587725,4.9017421 52.3583446)","LINESTRING(52.3587725 4.9015659,52.3583446 4.9017421)",4.901654,52.35855855
33985,Link 203366,203366,2019,Van Woustraat,5653,340,218,75,3,1,1,3,1,0,0,0,2,2,1,0,"LINESTRING(4.899774 52.3567101,4.8996009 52.3570846,4.8995813 52.3571702)","LINESTRING(52.3567101 4.899774,52.3570846 4.8996009,52.3571702 4.8995813)",4.89967765,52.35694015
33993,Link 203379,203379,2019,Weteringschans,1407,75,60,31,1,0,0,0,0,0,0,0,1,0,0,0,"LINESTRING(4.898597 52.3595886,4.8975565 52.3594225)","LINESTRING(52.3595886 4.898597,52.3594225 4.8975565)",4.89807675,52.35950555
34001,Link 203388,203388,2019,Utrechtsestraat,5308,276,220,113,8,3,2,5,2,1,0,0,1,1,1,1,"LINESTRING(4.8986626 52.3628868,4.8988856 52.3623114,4.8988877 52.3622507)","LINESTRING(52.3628868 4.8986626,52.3623114 4.8988856,52.3622507 4.8988877)",4.89877515,52.36256875
34009,Link 203389,203389,2019,Herengracht,1933,103,82,42,1,1,0,1,0,0,0,0,0,1,1,0,"LINESTRING(4.8956932 52.3649616,4.8960208 52.3649526)","LINESTRING(52.3649616 4.8956932,52.3649526 4.8960208)",4.895857,52.3649571
34017,Link 203390,203390,2019,Reguliersgracht,127,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.896152 52.363221,4.8961642 52.3632826,4.8961285 52.3635849)","LINESTRING(52.363221 4.896152,52.3632826 4.8961642,52.3635849 4.8961285)",4.89614635,52.36340295
34025,Link 203392,203392,2019,Prinsengracht,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8981729 52.3621357,4.8988877 52.3622507)","LINESTRING(52.3621357 4.8981729,52.3622507 4.8988877)",4.8985303,52.3621932
34033,Link 203393,203393,2019,Prinsengracht,996,52,42,21,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.8959376 52.361442,4.8961731 52.3614488,4.896269 52.3614683)","LINESTRING(52.361442 4.8959376,52.3614488 4.8961731,52.3614683 4.896269)",4.8961033,52.36145515
34041,Link 203397,203397,2019,Keizersgracht,32,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8957727 52.3635885,4.8958832 52.3635685,4.8961285 52.3635849)","LINESTRING(52.3635885 4.8957727,52.3635685 4.8958832,52.3635849 4.8961285)",4.8959506,52.3635785
34049,Link 203398,203398,2019,Keizersgracht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8982396 52.3639813,4.9010922 52.3645267)","LINESTRING(52.3639813 4.8982396,52.3645267 4.9010922)",4.8996659,52.364254
34057,Link 203399,203399,2019,Keizersgracht,728,39,31,16,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.896152 52.363221,4.8963301 52.3632395,4.8983772 52.3636288)","LINESTRING(52.363221 4.896152,52.3632395 4.8963301,52.3636288 4.8983772)",4.8972646,52.3634249
34065,Link 203402,203402,2019,Amstel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.9016627 52.3634595,4.9019604 52.3628178)","LINESTRING(52.3634595 4.9016627,52.3628178 4.9019604)",4.90181155,52.36313865
34073,Link 203418,203418,2019,Kloveniersburgwal,127,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.898125 52.3700276,4.8979539 52.3698491)","LINESTRING(52.3700276 4.898125,52.3698491 4.8979539)",4.89803945,52.36993835
34081,Link 203423,203423,2019,Amstel,6621,337,269,138,15,5,4,10,5,2,0,0,0,0,0,0,"LINESTRING(4.8994508 52.3667806,4.8989895 52.3669256,4.8983296 52.3669726)","LINESTRING(52.3667806 4.8994508,52.3669256 4.8989895,52.3669726 4.8983296)",4.8988902,52.3668766
34089,Link 203429,203429,2019,Amstel,6621,337,269,138,15,5,4,10,5,2,0,0,0,0,0,0,"LINESTRING(4.8973617 52.3670312,4.8969721 52.3670498,4.8967856 52.3670409)","LINESTRING(52.3670312 4.8973617,52.3670498 4.8969721,52.3670409 4.8967856)",4.89707365,52.3670405
34097,Link 203430,203430,2019,Amstel,6621,337,269,138,15,5,4,10,5,2,0,0,0,0,0,0,"LINESTRING(4.8957555 52.367001,4.8961387 52.3670048,4.8967856 52.3670409)","LINESTRING(52.367001 4.8957555,52.3670048 4.8961387,52.3670409 4.8967856)",4.89627055,52.36702095
34105,Link 203434,203434,2019,Kloveniersburgwal,120,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.896047 52.3684557,4.895823 52.3683365)","LINESTRING(52.3684557 4.896047,52.3683365 4.895823)",4.895935,52.3683961
34113,Link 203461,203461,2019,Kloveniersburgwal,1383,72,58,30,2,1,1,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8991733 52.3717755,4.8989459 52.3715198)","LINESTRING(52.3717755 4.8991733,52.3715198 4.8989459)",4.8990596,52.37164765
34121,Link 203465,203465,2019,Geldersekade,2353,125,100,51,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.9016878 52.3742794,4.9015784 52.3740573)","LINESTRING(52.3742794 4.9016878,52.3740573 4.9015784)",4.9016331,52.37416835
34129,Link 203466,203466,2019,Geldersekade,1660,88,71,36,1,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.9012896 52.373459,4.9012127 52.3732966)","LINESTRING(52.373459 4.9012896,52.3732966 4.9012127)",4.90125115,52.3733778
