OBJECTNUMMER,LABEL,link no., year,street_name,24 hours,daylight,evening,nightlv,daymv,eveningmv,nightmv,dayzv,eveningzv,nightzv,day bus,evening bus,night bus,dagmr,eveningmr,nightmr,WKT_LNG_LAT,WKT_LAT_LNG,Longitude,Latitude
6832,Link 23895,23895,2019,Singel,140,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8882018 52.3722019,4.8880463 52.3714544)","LINESTRING(52.3722019 4.8882018,52.3714544 4.8880463)",4.88812405,52.37182815
6840,Link 23925,23925,2019,Damstraat,1402,69,55,28,5,2,1,4,2,1,0,0,0,0,0,0,"LINESTRING(4.8939471 52.3724889,4.8947949 52.3722034)","LINESTRING(52.3724889 4.8939471,52.3722034 4.8947949)",4.894371,52.37234615
6848,Link 23926,23926,2019,Damstraat,1402,69,55,28,5,2,1,4,2,1,0,0,0,0,0,0,"LINESTRING(4.8947949 52.3722034,4.8956579 52.3719216)","LINESTRING(52.3722034 4.8947949,52.3719216 4.8956579)",4.8952264,52.3720625
6856,Link 24011,24011,2019,Singel,224,12,10,5,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8887363 52.373875,4.8885459 52.373347,4.8884965 52.3732769)","LINESTRING(52.373875 4.8887363,52.373347 4.8885459,52.3732769 4.8884965)",4.8886164,52.37357595
6864,Link 24014,24014,2019,Singel,6228,328,262,134,5,2,1,4,2,1,0,0,6,2,2,1,"LINESTRING(4.8884965 52.3732769,4.8891835 52.3732413)","LINESTRING(52.3732769 4.8884965,52.3732413 4.8891835)",4.88884,52.3732591
6872,Link 24065,24065,2019,Stromarkt,494,25,20,10,1,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8942248 52.3786396,4.8943909 52.3788122,4.8945612 52.3789376,4.8946162 52.3789558)","LINESTRING(52.3786396 4.8942248,52.3788122 4.8943909,52.3789376 4.8945612,52.3789558 4.8946162)",4.8944205,52.3787977
6880,Link 24067,24067,2019,Spuistraat,747,40,32,16,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8933725 52.3767601,4.8922796 52.3759955)","LINESTRING(52.3767601 4.8933725,52.3759955 4.8922796)",4.89282605,52.3763778
6888,Link 24069,24069,2019,Spuistraat,770,41,33,17,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8902855 52.374377,4.8906538 52.3747226,4.8909961 52.3750049)","LINESTRING(52.374377 4.8902855,52.3747226 4.8906538,52.3750049 4.8909961)",4.8906408,52.37469095
6896,Link 24076,24076,2019,Singel,1047,54,43,22,2,1,1,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8896938 52.3745439,4.8897775 52.3745984,4.8903827 52.3751568)","LINESTRING(52.3745439 4.8896938,52.3745984 4.8897775,52.3751568 4.8903827)",4.89003825,52.37485035
6904,Link 24078,24078,2019,Singel,193,10,8,4,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8928576 52.3780651,4.8936617 52.3787987)","LINESTRING(52.3780651 4.8928576,52.3787987 4.8936617)",4.89325965,52.3784319
6912,Link 24081,24081,2019,Singel,1295,67,53,27,2,1,1,2,1,0,0,0,0,0,0,0,"LINESTRING(4.8911301 52.376498,4.8909753 52.3763527)","LINESTRING(52.376498 4.8911301,52.3763527 4.8909753)",4.8910527,52.37642535
6920,Link 24083,24083,2019,Singel,222,12,10,5,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8890612 52.3745758,4.8892353 52.3747647,4.8898416 52.375311)","LINESTRING(52.3745758 4.8890612,52.3747647 4.8892353,52.375311 4.8898416)",4.8894514,52.3749434
6928,Link 24113,24113,2019,Herengracht,963,50,40,20,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8922163 52.3791011,4.8921623 52.3790632,4.891689 52.378545)","LINESTRING(52.3791011 4.8922163,52.3790632 4.8921623,52.378545 4.891689)",4.89195265,52.37882305
6936,Link 24115,24115,2019,Herengracht,963,50,40,20,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.890753 52.3775418,4.8901606 52.3768787)","LINESTRING(52.3775418 4.890753,52.3768787 4.8901606)",4.8904568,52.37721025
6944,Link 24117,24117,2019,Herengracht,1088,57,46,23,1,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8890176 52.3756454,4.8900361 52.3767467)","LINESTRING(52.3756454 4.8890176,52.3767467 4.8900361)",4.88952685,52.37619605
6952,Link 24118,24118,2019,Herengracht,1052,55,44,22,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8890176 52.3756454,4.8883245 52.3748878,4.888212 52.3747876)","LINESTRING(52.3756454 4.8890176,52.3748878 4.8883245,52.3747876 4.888212)",4.8886148,52.3752165
6960,Link 24163,24163,2019,Hekelveld,1188,62,50,25,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8946366 52.3774386,4.8951487 52.3776191,4.8953419 52.3776724)","LINESTRING(52.3774386 4.8946366,52.3776191 4.8951487,52.3776724 4.8953419)",4.89498925,52.3775555
6968,Link 24165,24165,2019,Spuistraat,747,40,32,16,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8944654 52.3773674,4.8946366 52.3774386)","LINESTRING(52.3773674 4.8944654,52.3774386 4.8946366)",4.894551,52.377403
6976,Link 24168,24168,2019,Singel,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8936502 52.3781437,4.8928808 52.3774358)","LINESTRING(52.3781437 4.8936502,52.3774358 4.8928808)",4.8932655,52.37778975
6984,Link 24173,24173,2019,Brouwersgracht,963,50,40,20,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.892743 52.3790115,4.892319 52.3791029,4.8922163 52.3791011)","LINESTRING(52.3790115 4.892743,52.3791029 4.892319,52.3791011 4.8922163)",4.89247965,52.3790572
6992,Link 24175,24175,2019,Brouwersgracht,1185,64,51,26,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8896152 52.3796275,4.8900349 52.3794787)","LINESTRING(52.3796275 4.8896152,52.3794787 4.8900349)",4.88982505,52.3795531
7000,Link 24179,24179,2019,0056 BRUG,1178,64,51,26,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8902923 52.3797489,4.8901057 52.3795248,4.8900349 52.3794787)","LINESTRING(52.3797489 4.8902923,52.3795248 4.8901057,52.3794787 4.8900349)",4.8901636,52.3796138
7008,Link 24185,24185,2019,Singel,2276,117,94,48,5,2,1,3,1,1,0,0,0,0,0,0,"LINESTRING(4.8941946 52.3792534,4.8938219 52.3789401)","LINESTRING(52.3792534 4.8941946,52.3789401 4.8938219)",4.89400825,52.37909675
7016,Link 24186,24186,2019,Korte Prinsengracht,2305,125,100,51,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8900373 52.3819683,4.8895128 52.3813757)","LINESTRING(52.3819683 4.8900373,52.3813757 4.8895128)",4.88977505,52.381672
7024,Link 24188,24188,2019,Brouwersgracht,2490,134,107,55,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.8887377 52.380515,4.8884945 52.3802612)","LINESTRING(52.380515 4.8887377,52.3802612 4.8884945)",4.8886161,52.3803881
7032,Link 24192,24192,2019,Prins Hendrikkade,494,25,20,10,1,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8946162 52.3789558,4.8953393 52.3792526)","LINESTRING(52.3789558 4.8946162,52.3792526 4.8953393)",4.89497775,52.3791042
7040,Link 24208,24208,2019,Buiten Brouwersstraat,3242,174,139,71,1,1,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.8910128 52.3805346,4.8912853 52.3808141,4.8915729 52.3811577)","LINESTRING(52.3805346 4.8910128,52.3808141 4.8912853,52.3811577 4.8915729)",4.89129285,52.38084615
7048,Link 24209,24209,2019,Brouwersgracht,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8926823 52.3792275,4.8935217 52.3790405,4.8938219 52.3789401)","LINESTRING(52.3792275 4.8926823,52.3790405 4.8935217,52.3789401 4.8938219)",4.8932521,52.3790838
7056,Link 24210,24210,2019,Brouwersgracht,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8921689 52.3793354,4.8926823 52.3792275)","LINESTRING(52.3793354 4.8921689,52.3792275 4.8926823)",4.8924256,52.37928145
7064,Link 24218,24218,2019,Droogbak,14387,721,576,294,16,6,4,12,5,2,37,27,13,4,3,2,"LINESTRING(4.8948352 52.3797594,4.8952754 52.3801078)","LINESTRING(52.3797594 4.8948352,52.3801078 4.8952754)",4.8950553,52.3799336
7072,Link 24219,24219,2019,0017 BRUG,699,38,30,16,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8917712 52.3794222,4.8917665 52.3793523,4.8916233 52.3791537)","LINESTRING(52.3794222 4.8917712,52.3793523 4.8917665,52.3791537 4.8916233)",4.89169725,52.37928795
7080,Link 24220,24220,2019,Singel,2230,114,92,47,5,2,1,3,1,1,0,0,0,0,0,0,"LINESTRING(4.8941946 52.3792534,4.8945397 52.3796368)","LINESTRING(52.3792534 4.8941946,52.3796368 4.8945397)",4.89436715,52.3794451
7088,Link 24222,24222,2019,Buiten Brouwersstraat,5302,284,227,116,2,1,1,2,1,0,0,0,0,0,0,0,"LINESTRING(4.8917477 52.3813733,4.8915729 52.3811577)","LINESTRING(52.3813733 4.8917477,52.3811577 4.8915729)",4.8916603,52.3812655
7096,Link 24234,24234,2019,Droogbak,8775,438,349,179,14,5,3,10,4,2,19,14,8,2,2,1,"LINESTRING(4.8946745 52.3796868,4.8948352 52.3797594)","LINESTRING(52.3796868 4.8946745,52.3797594 4.8948352)",4.89475485,52.3797231
7104,Link 24289,24289,2019,Westerdoksdijk,17297,887,709,363,27,9,6,22,10,5,10,8,2,4,4,2,"LINESTRING(4.893265 52.3854474,4.8927104 52.3866278)","LINESTRING(52.3854474 4.893265,52.3866278 4.8927104)",4.8929877,52.3860376
7112,Link 24290,24290,2019,Westerdoksdijk,17662,907,724,370,27,10,6,22,10,5,10,8,2,5,4,2,"LINESTRING(4.893005 52.384324,4.8932512 52.3850002,4.8932757 52.3851786,4.893265 52.3854474)","LINESTRING(52.384324 4.893005,52.3850002 4.8932512,52.3851786 4.8932757,52.3854474 4.893265)",4.89314035,52.3848857
7120,Link 24291,24291,2019,Westerdoksdijk,17669,907,724,370,27,10,6,22,10,5,10,8,2,5,4,2,"LINESTRING(4.8930492 52.3834403,4.8930461 52.3835439,4.8929394 52.3838229,4.8929466 52.3841743,4.893005 52.384324)","LINESTRING(52.3834403 4.8930492,52.3835439 4.8930461,52.3838229 4.8929394,52.3841743 4.8929466,52.384324 4.893005)",4.8929943,52.38388215
7128,Link 24300,24300,2019,Van Diemenstraat,19025,968,792,376,39,11,9,30,17,6,10,8,2,5,4,2,"LINESTRING(4.8890661 52.3899141,4.889742 52.3898279)","LINESTRING(52.3899141 4.8890661,52.3898279 4.889742)",4.88940405,52.389871
7136,Link 24301,24301,2019,Barentszstraat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8895906 52.3891712,4.8888277 52.3890697)","LINESTRING(52.3891712 4.8895906,52.3890697 4.8888277)",4.88920915,52.38912045
7144,Link 24302,24302,2019,Barentszstraat,66,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8879214 52.388944,4.8888277 52.3890697)","LINESTRING(52.388944 4.8879214,52.3890697 4.8888277)",4.88837455,52.38900685
7152,Link 24304,24304,2019,Barentszplein,19025,968,792,376,39,11,9,30,17,6,10,8,2,5,4,2,"LINESTRING(4.889742 52.3898279,4.8903869 52.3897438,4.890722 52.3896776,4.8911297 52.3895613,4.89129 52.3894847)","LINESTRING(52.3898279 4.889742,52.3897438 4.8903869,52.3896776 4.890722,52.3895613 4.8911297,52.3894847 4.89129)",4.890516,52.3896563
7160,Link 24307,24307,2019,Westerdoksdijk,18318,936,766,363,35,10,8,27,15,6,10,8,2,5,4,2,"LINESTRING(4.89129 52.3894847,4.8914083 52.389433,4.8915437 52.3892833,4.8918071 52.3886937)","LINESTRING(52.3894847 4.89129,52.389433 4.8914083,52.3892833 4.8915437,52.3886937 4.8918071)",4.89154855,52.3890892
7168,Link 24308,24308,2019,Westerdoksdijk,18434,936,748,382,36,13,8,28,13,6,10,8,2,5,4,2,"LINESTRING(4.8918071 52.3886937,4.8920837 52.3880644)","LINESTRING(52.3886937 4.8918071,52.3880644 4.8920837)",4.8919454,52.38837905
7176,Link 24318,24318,2019,Jan Tooropstraat,9837,569,347,137,16,5,4,18,4,6,0,0,1,3,2,1,"LINESTRING(4.8384381 52.3726179,4.8383949 52.3725548,4.838135 52.3715666)","LINESTRING(52.3726179 4.8384381,52.3725548 4.8383949,52.3715666 4.838135)",4.83828655,52.37209225
7184,Link 24339,24339,2019,tt. Vasumweg,4162,247,151,46,8,4,2,7,2,1,0,0,0,1,1,0,"LINESTRING(4.8931233 52.4042805,4.8928834 52.404371,4.8921064 52.4047326)","LINESTRING(52.4042805 4.8931233,52.404371 4.8928834,52.4047326 4.8921064)",4.89261485,52.40450655
7192,Link 24341,24341,2019,tt. Vasumweg,4162,247,151,46,8,4,2,7,2,1,0,0,0,1,1,0,"LINESTRING(4.8946853 52.4035562,4.8931233 52.4042805)","LINESTRING(52.4035562 4.8946853,52.4042805 4.8931233)",4.8939043,52.40391835
7200,Link 24397,24397,2019,Stenendokweg,4096,251,153,47,4,2,1,3,1,0,0,0,0,1,1,0,"LINESTRING(4.8930061 52.4088075,4.8930373 52.4079763,4.8930296 52.407935,4.892997 52.4079056)","LINESTRING(52.4088075 4.8930061,52.4079763 4.8930373,52.407935 4.8930296,52.4079056 4.892997)",4.89301715,52.40835655
7208,Link 24401,24401,2019,Werktuigstraat,2665,146,89,27,1,1,0,1,1,0,18,14,4,1,1,0,"LINESTRING(4.8960815 52.4087445,4.8954085 52.4088459,4.895099 52.4089255,4.894863 52.4090054)","LINESTRING(52.4087445 4.8960815,52.4088459 4.8954085,52.4089255 4.895099,52.4090054 4.894863)",4.89547225,52.40887495
7216,Link 24402,24402,2019,Werktuigstraat,3325,192,117,35,3,1,1,2,1,0,12,9,3,1,1,0,"LINESTRING(4.8940538 52.4090829,4.8948045 52.4089782,4.894863 52.4090054)","LINESTRING(52.4090829 4.8940538,52.4089782 4.8948045,52.4090054 4.894863)",4.8944584,52.40903055
7224,Link 24406,24406,2019,Pomonastraat,5084,306,186,57,4,2,1,3,1,0,7,5,1,2,1,0,"LINESTRING(4.894993 52.409314,4.894863 52.4090054)","LINESTRING(52.409314 4.894993,52.4090054 4.894863)",4.894928,52.4091597
7232,Link 24435,24435,2019,De Savornin Lohmanstraat,10553,612,374,148,5,1,1,5,1,2,23,17,5,3,2,1,"LINESTRING(4.8001586 52.3753668,4.8002543 52.3753319,4.8014292 52.375213)","LINESTRING(52.3753668 4.8001586,52.3753319 4.8002543,52.375213 4.8014292)",4.8007939,52.3752899
7240,Link 24436,24436,2019,tt. Vasumweg,4406,271,165,50,3,1,1,3,1,0,0,0,0,1,1,0,"LINESTRING(4.8881878 52.4067216,4.8889303 52.4063753)","LINESTRING(52.4067216 4.8881878,52.4063753 4.8889303)",4.88855905,52.40654845
7248,Link 24448,24448,2019,tt. Vasumweg,4406,271,165,50,3,1,1,3,1,0,0,0,0,1,1,0,"LINESTRING(4.8903759 52.4056817,4.8897649 52.4059693)","LINESTRING(52.4056817 4.8903759,52.4059693 4.8897649)",4.8900704,52.4058255
7256,Link 24449,24449,2019,tt. Vasumweg,4406,271,165,50,3,1,1,3,1,0,0,0,0,1,1,0,"LINESTRING(4.8895849 52.4060632,4.8897649 52.4059693)","LINESTRING(52.4060632 4.8895849,52.4059693 4.8897649)",4.8896749,52.40601625
7264,Link 24497,24497,2019,Oosterpark,4053,228,155,56,2,1,1,2,1,1,11,9,3,1,1,0,"LINESTRING(4.9209876 52.3589231,4.9208537 52.358902,4.9191522 52.3584768,4.9177609 52.3581565,4.9175631 52.3581063,4.9174712 52.3580419)","LINESTRING(52.3589231 4.9209876,52.358902 4.9208537,52.3584768 4.9191522,52.3581565 4.9177609,52.3581063 4.9175631,52.3580419 4.9174712)",4.9192294,52.3584825
7272,Link 24521,24521,2019,Meteorenweg,1148,59,36,11,1,0,0,1,0,0,12,9,3,0,0,0,"LINESTRING(4.8913608 52.4102698,4.8912093 52.4103257,4.8905261 52.4106489)","LINESTRING(52.4102698 4.8913608,52.4103257 4.8912093,52.4106489 4.8905261)",4.89094345,52.41045935
7280,Link 24522,24522,2019,Meteorenweg,1115,57,35,11,1,0,0,1,0,0,12,9,3,0,0,0,"LINESTRING(4.8905261 52.4106489,4.8896869 52.4110481)","LINESTRING(52.4106489 4.8905261,52.4110481 4.8896869)",4.8901065,52.4108485
7288,Link 24524,24524,2019,Meteorenweg,1187,61,37,11,1,0,0,1,0,0,12,9,3,0,0,0,"LINESTRING(4.8879413 52.4118702,4.8886437 52.4115392,4.8887428 52.4114786,4.8888225 52.4114545)","LINESTRING(52.4118702 4.8879413,52.4115392 4.8886437,52.4114786 4.8887428,52.4114545 4.8888225)",4.8883819,52.41166235
7296,Link 24591,24591,2019,Kometensingel,158,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8934429 52.4151577,4.893282 52.4151947,4.8926757 52.4154716,4.8924998 52.4155071,4.8923539 52.4154936,4.8908537 52.4152269)","LINESTRING(52.4151577 4.8934429,52.4151947 4.893282,52.4154716 4.8926757,52.4155071 4.8924998,52.4154936 4.8923539,52.4152269 4.8908537)",4.8921483,52.4153324
7304,Link 24593,24593,2019,Kometensingel,158,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8908537 52.4152269,4.8901354 52.4150978)","LINESTRING(52.4152269 4.8908537,52.4150978 4.8901354)",4.89049455,52.41516235
7312,Link 24595,24595,2019,Zuideinde,202,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8954112 52.4176552,4.8943637 52.4187473,4.8942082 52.4188787)","LINESTRING(52.4176552 4.8954112,52.4187473 4.8943637,52.4188787 4.8942082)",4.8948097,52.41826695
7320,Link 24598,24598,2019,Stellingweg,4342,248,151,46,3,1,1,3,1,0,18,14,4,1,1,0,"LINESTRING(4.8927499 52.4162465,4.8918077 52.4161215,4.8912824 52.4160789)","LINESTRING(52.4162465 4.8927499,52.4161215 4.8918077,52.4160789 4.8912824)",4.89201615,52.4161627
7328,Link 24601,24601,2019,Stellingweg,3878,237,144,44,4,1,1,3,1,0,0,0,1,1,1,0,"LINESTRING(4.8924911 52.4192835,4.8926377 52.4194409,4.892742 52.4195118,4.8933238 52.4197327)","LINESTRING(52.4192835 4.8924911,52.4194409 4.8926377,52.4195118 4.892742,52.4197327 4.8933238)",4.89290745,52.4195081
7336,Link 24602,24602,2019,Appelweg,6825,413,251,77,5,2,1,5,1,1,7,5,1,2,1,0,"LINESTRING(4.8945921 52.4165407,4.8946647 52.4164924,4.8948061 52.4161444,4.895071 52.4159616)","LINESTRING(52.4165407 4.8945921,52.4164924 4.8946647,52.4161444 4.8948061,52.4159616 4.895071)",4.89483155,52.41625115
7344,Link 24603,24603,2019,Adriaan Loosjesstraat,3778,233,142,43,2,1,1,2,1,0,0,0,0,1,1,0,"LINESTRING(4.8954061 52.4191963,4.894389 52.4189665,4.8943 52.4189425,4.8942082 52.4188787)","LINESTRING(52.4191963 4.8954061,52.4189665 4.894389,52.4189425 4.8943,52.4188787 4.8942082)",4.89480715,52.4190375
7352,Link 24652,24652,2019,Zuideinde,3669,226,138,42,3,1,1,2,1,0,0,0,0,1,1,0,"LINESTRING(4.8938032 52.4192806,4.8933238 52.4197327)","LINESTRING(52.4192806 4.8938032,52.4197327 4.8933238)",4.8935635,52.41950665
7360,Link 24653,24653,2019,Molenaarsweg,5982,365,222,68,4,2,1,4,1,1,3,2,1,2,1,0,"LINESTRING(4.8913895 52.4205639,4.8914943 52.420532,4.8916203 52.4205401,4.8923363 52.4207274)","LINESTRING(52.4205639 4.8913895,52.420532 4.8914943,52.4205401 4.8916203,52.4207274 4.8923363)",4.8918629,52.4206297
7368,Link 24662,24662,2019,Zuideinde,5393,331,201,61,5,2,1,4,1,1,0,0,1,2,1,0,"LINESTRING(4.8931193 52.4199355,4.8927419 52.4202977,4.8923363 52.4207274)","LINESTRING(52.4199355 4.8931193,52.4202977 4.8927419,52.4207274 4.8923363)",4.8927278,52.42033145
7376,Link 24677,24677,2019,Brouwersgracht,49,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8900349 52.3794787,4.8915233 52.3791485,4.8915762 52.3791411,4.8916233 52.3791537)","LINESTRING(52.3794787 4.8900349,52.3791485 4.8915233,52.3791411 4.8915762,52.3791537 4.8916233)",4.8908291,52.3793099
7384,Link 24678,24678,2019,Zuideinde,4080,247,150,46,2,1,0,2,1,0,6,4,2,1,1,0,"LINESTRING(4.888834 52.4243965,4.8882359 52.4250689,4.8877091 52.4255557)","LINESTRING(52.4243965 4.888834,52.4250689 4.8882359,52.4255557 4.8877091)",4.88827155,52.4249761
7392,Link 24815,24815,2019,Waalstraat,1535,79,51,17,5,2,1,4,2,1,7,5,2,0,0,0,"LINESTRING(4.9018399 52.3412026,4.9018274 52.340963,4.901785 52.3407199)","LINESTRING(52.3412026 4.9018399,52.340963 4.9018274,52.3407199 4.901785)",4.90181245,52.34096125
7400,Link 24887,24887,2019,Waalstraat,470,27,17,6,1,0,0,1,0,0,0,0,0,0,0,0,"LINESTRING(4.9000757 52.347098,4.9000745 52.3472671,4.9001134 52.3473724)","LINESTRING(52.347098 4.9000757,52.3472671 4.9000745,52.3473724 4.9001134)",4.90009395,52.3472352
7408,Link 24891,24891,2019,Waalstraat,1305,75,48,17,3,1,1,2,1,0,0,0,0,0,0,0,"LINESTRING(4.9001923 52.3451783,4.9006367 52.3447063)","LINESTRING(52.3451783 4.9001923,52.3447063 4.9006367)",4.9004145,52.3449423
7416,Link 24893,24893,2019,Rooseveltlaan,2606,148,95,33,3,1,1,3,1,0,7,5,2,1,1,0,"LINESTRING(4.9009912 52.3443513,4.9007957 52.3445294)","LINESTRING(52.3443513 4.9009912,52.3445294 4.9007957)",4.90089345,52.34444035
7424,Link 24911,24911,2019,Merwedeplein,1579,94,60,21,2,1,0,1,1,0,0,0,0,1,1,0,"LINESTRING(4.8998936 52.3455351,4.8998625 52.3457375,4.8998978 52.345939)","LINESTRING(52.3455351 4.8998936,52.3457375 4.8998625,52.345939 4.8998978)",4.89988015,52.34573705
7432,Link 24913,24913,2019,Maasstraat,2060,122,78,27,3,1,1,2,1,0,0,0,0,1,1,0,"LINESTRING(4.8964213 52.3431725,4.8959451 52.3436673)","LINESTRING(52.3431725 4.8964213,52.3436673 4.8959451)",4.8961832,52.3434199
7440,Link 24915,24915,2019,Rooseveltlaan,1563,95,61,21,1,0,0,1,0,0,0,0,0,1,0,0,"LINESTRING(4.8967585 52.3428174,4.8965966 52.3429828)","LINESTRING(52.3428174 4.8967585,52.3429828 4.8965966)",4.89667755,52.3429001
7448,Link 24940,24940,2019,Waalstraat,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.9001067 52.3477872,4.9000239 52.347879,4.8998848 52.3482469)","LINESTRING(52.3477872 4.9001067,52.347879 4.9000239,52.3482469 4.8998848)",4.89999575,52.34801705
7456,Link 24978,24978,2019,Lutmastraat,409,25,16,6,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.9014487 52.351433,4.8997493 52.3511957)","LINESTRING(52.351433 4.9014487,52.3511957 4.8997493)",4.900599,52.35131435
7464,Link 24980,24980,2019,Lutmastraat,409,25,16,6,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.9032139 52.3516773,4.902277 52.3515471)","LINESTRING(52.3516773 4.9032139,52.3515471 4.902277)",4.90274545,52.3516122
7472,Link 24999,24999,2019,Lutmastraat,409,25,16,6,0,0,0,0,0,0,0,0,0,0,0,0,"LINESTRING(4.8989869 52.3510813,4.8997493 52.3511957)","LINESTRING(52.3510813 4.8989869,52.3511957 4.8997493)",4.8993681,52.3511385
7480,Link 25005,25005,2019,Van Woustraat,8237,497,318,109,4,1,1,3,1,1,0,0,2,3,2,1,"LINESTRING(4.9007217 52.3554902,4.9002478 52.3560964)","LINESTRING(52.3554902 4.9007217,52.3560964 4.9002478)",4.90048475,52.3557933
7488,Link 25006,25006,2019,Van Woustraat,7535,453,290,100,5,2,1,4,2,1,0,0,1,2,2,1,"LINESTRING(4.901675 52.3542755,4.9020346 52.3538646)","LINESTRING(52.3542755 4.901675,52.3538646 4.9020346)",4.9018548,52.35407005
7496,Link 25007,25007,2019,Van Woustraat,6996,421,270,93,4,1,1,4,2,1,0,0,1,2,1,0,"LINESTRING(4.9020346 52.3538646,4.9023633 52.3534629)","LINESTRING(52.3538646 4.9020346,52.3534629 4.9023633)",4.90219895,52.35366375
7504,Link 25008,25008,2019,Van Woustraat,7638,460,295,101,5,2,1,4,2,1,0,0,1,2,2,1,"LINESTRING(4.9023633 52.3534629,4.9024902 52.3533202,4.9026164 52.3531345)","LINESTRING(52.3534629 4.9023633,52.3533202 4.9024902,52.3531345 4.9026164)",4.90248985,52.3532987
7512,Link 25009,25009,2019,Van Woustraat,7708,464,298,102,5,2,1,4,2,1,0,0,1,2,2,1,"LINESTRING(4.9026164 52.3531345,4.9028103 52.3527803,4.9028392 52.3526728)","LINESTRING(52.3531345 4.9026164,52.3527803 4.9028103,52.3526728 4.9028392)",4.9027278,52.35290365
7520,Link 25045,25045,2019,CEINTUURBAAN,10099,606,388,134,8,3,2,6,3,1,0,0,0,3,2,1,"LINESTRING(4.8991332 52.3542122,4.8992013 52.3542018,4.8993568 52.3542362,4.9002375 52.3545105,4.9006465 52.3546223,4.9012495 52.3548217)","LINESTRING(52.3542122 4.8991332,52.3542018 4.8992013,52.3542362 4.8993568,52.3545105 4.9002375,52.3546223 4.9006465,52.3548217 4.9012495)",4.90019135,52.35451175
7528,Link 25047,25047,2019,Sarphatipark,598,34,22,8,2,1,0,1,1,0,0,0,0,0,0,0,"LINESTRING(4.8991332 52.3542122,4.8991107 52.3542672,4.8986612 52.3548523)","LINESTRING(52.3542122 4.8991332,52.3542672 4.8991107,52.3548523 4.8986612)",4.8988972,52.35453225
7536,Link 25049,25049,2019,Van Woustraat,5595,336,216,74,3,1,1,3,1,0,0,0,2,2,1,0,"LINESTRING(4.899245 52.3578078,4.8993311 52.357693,4.8995354 52.3572321,4.8995813 52.3571702)","LINESTRING(52.3578078 4.899245,52.357693 4.8993311,52.3572321 4.8995354,52.3571702 4.8995813)",4.89941315,52.357489
7544,Link 25051,25051,2019,Van Woustraat,6670,400,256,88,5,2,1,4,2,1,0,0,2,2,1,1,"LINESTRING(4.899774 52.3567101,4.8998547 52.356575,4.9002478 52.3560964)","LINESTRING(52.3567101 4.899774,52.356575 4.8998547,52.3560964 4.9002478)",4.9000109,52.35640325
7552,Link 25057,25057,2019,Stadhouderskade,24617,1450,929,320,37,12,7,27,12,4,0,0,0,7,5,2,"LINESTRING(4.8984336 52.3576449,4.899245 52.3578078)","LINESTRING(52.3576449 4.8984336,52.3578078 4.899245)",4.8988393,52.35772635
7560,Link 25060,25060,2019,Amstellandlaan,5413,333,172,47,13,4,2,12,2,2,0,0,0,2,1,0,"LINESTRING(5.0291039 52.3102903,5.0272857 52.3102848)","LINESTRING(52.3102903 5.0291039,52.3102848 5.0272857)",5.0281948,52.31028755
